# Mchirp	Lambda	VT	VT_Err	Rate_R90	Rate_Err
1.0000e-01	0.0000e+00	1.1672e-05	6.4762e-07	1.9731e+05	1.0948e+04
2.0000e-01	0.0000e+00	9.2521e-05	4.3066e-06	2.4892e+04	1.1586e+03
3.5000e-01	0.0000e+00	4.4894e-04	1.9002e-05	5.1298e+03	2.1712e+02
5.0000e-01	0.0000e+00	1.0992e-03	4.6433e-05	2.0951e+03	8.8498e+01
7.0000e-01	0.0000e+00	2.4770e-03	1.0623e-04	9.2977e+02	3.9877e+01
1.1000e+00	0.0000e+00	7.5930e-03	3.2734e-04	3.0331e+02	1.3076e+01
1.2000e+00	0.0000e+00	9.3083e-03	4.0424e-04	2.4741e+02	1.0745e+01
2.0000e-01	1.0000e+02	8.6423e-05	4.1690e-06	2.6648e+04	1.2855e+03
3.5000e-01	1.0000e+02	4.5320e-04	1.9086e-05	5.0816e+03	2.1401e+02
5.0000e-01	1.0000e+02	1.0348e-03	4.5130e-05	2.2255e+03	9.7057e+01
7.0000e-01	1.0000e+02	2.4818e-03	1.0633e-04	9.2796e+02	3.9758e+01
1.1000e+00	1.0000e+02	7.7571e-03	3.3065e-04	2.9689e+02	1.2655e+01
1.0000e-01	2.0000e+03	1.0966e-05	6.2838e-07	2.1002e+05	1.2035e+04
2.0000e-01	2.0000e+03	9.2311e-05	4.3019e-06	2.4948e+04	1.1627e+03
3.5000e-01	2.0000e+03	4.4298e-04	1.8883e-05	5.1989e+03	2.2161e+02
5.0000e-01	2.0000e+03	1.0805e-03	4.6059e-05	2.1313e+03	9.0851e+01
7.0000e-01	2.0000e+03	2.5589e-03	1.0787e-04	9.0000e+02	3.7941e+01
1.1000e+00	2.0000e+03	7.9957e-03	3.3540e-04	2.8803e+02	1.2082e+01
1.2000e+00	2.0000e+03	9.8089e-03	4.1434e-04	2.3479e+02	9.9176e+00
2.0000e-01	5.0000e+03	9.1680e-05	4.2879e-06	2.5120e+04	1.1749e+03
3.5000e-01	5.0000e+03	4.2935e-04	1.8607e-05	5.3639e+03	2.3245e+02
5.0000e-01	5.0000e+03	1.0681e-03	4.5808e-05	2.1562e+03	9.2478e+01
7.0000e-01	5.0000e+03	2.4770e-03	1.0623e-04	9.2977e+02	3.9877e+01
1.1000e+00	5.0000e+03	8.0107e-03	3.3569e-04	2.8749e+02	1.2048e+01
2.0000e-01	6.7000e+03	9.1890e-05	4.2926e-06	2.5063e+04	1.1708e+03
3.5000e-01	6.7000e+03	4.3446e-04	1.8711e-05	5.3008e+03	2.2829e+02
5.0000e-01	6.7000e+03	1.0452e-03	4.5343e-05	2.2034e+03	9.5587e+01
7.0000e-01	6.7000e+03	2.4336e-03	1.0535e-04	9.4634e+02	4.0968e+01
1.1000e+00	6.7000e+03	8.1002e-03	3.3745e-04	2.8432e+02	1.1845e+01
2.0000e-01	9.0000e+03	9.3572e-05	4.3298e-06	2.4612e+04	1.1389e+03
3.5000e-01	9.0000e+03	4.4213e-04	1.8866e-05	5.2089e+03	2.2226e+02
5.0000e-01	9.0000e+03	1.1034e-03	4.6515e-05	2.0872e+03	8.7989e+01
7.0000e-01	9.0000e+03	2.4914e-03	1.0653e-04	9.2437e+02	3.9523e+01
1.1000e+00	9.0000e+03	8.4134e-03	3.4351e-04	2.7373e+02	1.1176e+01
1.2000e+00	9.0000e+03	9.6977e-03	4.1212e-04	2.3748e+02	1.0092e+01
1.0000e-01	3.0000e+04	1.1449e-05	6.4161e-07	2.0116e+05	1.1273e+04
2.0000e-01	3.0000e+04	9.1890e-05	4.2926e-06	2.5063e+04	1.1708e+03
1.0000e-01	7.0000e+05	1.2081e-05	6.5847e-07	1.9063e+05	1.0391e+04
2.0000e-01	7.0000e+05	7.3386e-05	3.8549e-06	3.1382e+04	1.6485e+03
